Timestamp,P0036_[MediumArch 2B Space Humidity 2][MediumArch 2B Space Humidity 2] [P36] [S36V] [Synchronized@1800](%RH)
25-Sep-20 12:00:00 am,49.6
26-Sep-20 12:00:00 am,48.6
27-Sep-20 12:00:00 am,48.3
28-Sep-20 12:00:00 am,48.4
29-Sep-20 12:00:00 am,48.4
30-Sep-20 12:00:00 am,48.3
01-Oct-20 12:00:00 am,48.2
02-Oct-20 12:00:00 am,47.7
03-Oct-20 12:00:00 am,46.8
04-Oct-20 12:00:00 am,46.3
05-Oct-20 12:00:00 am,46.5
06-Oct-20 12:00:00 am,46.6
07-Oct-20 12:00:00 am,46.3
08-Oct-20 12:00:00 am,46.1
09-Oct-20 12:00:00 am,46.2
10-Oct-20 12:00:00 am,45.7
11-Oct-20 12:00:00 am,45.8
12-Oct-20 12:00:00 am,46.2
13-Oct-20 12:00:00 am,46.4
14-Oct-20 12:00:00 am,45.9
15-Oct-20 12:00:00 am,45.4
16-Oct-20 12:00:00 am,46.5
17-Oct-20 12:00:00 am,48.1
18-Oct-20 12:00:00 am,50.9
19-Oct-20 12:00:00 am,52.4
20-Oct-20 12:00:00 am,51.5
21-Oct-20 12:00:00 am,48.4
22-Oct-20 12:00:00 am,47.4
23-Oct-20 12:00:00 am,45.8
24-Oct-20 12:00:00 am,46.9
25-Oct-20 12:00:00 am,46.6
26-Oct-20 12:00:00 am,46.3
27-Oct-20 12:00:00 am,43.4
28-Oct-20 12:00:00 am,42.7
29-Oct-20 12:00:00 am,44.9
30-Oct-20 12:00:00 am,44.3
31-Oct-20 12:00:00 am,44.4
01-Nov-20 12:00:00 am,44.6
02-Nov-20 12:00:00 am,48.5
03-Nov-20 12:00:00 am,47.5
04-Nov-20 12:00:00 am,44.8
05-Nov-20 12:00:00 am,45.2
06-Nov-20 12:00:00 am,47.6
07-Nov-20 12:00:00 am,47.8
08-Nov-20 12:00:00 am,48.2
09-Nov-20 12:00:00 am,49.7
10-Nov-20 12:00:00 am,49.7
11-Nov-20 12:00:00 am,49.5
12-Nov-20 12:00:00 am,48.8
13-Nov-20 12:00:00 am,48.6
14-Nov-20 12:00:00 am,48.7
15-Nov-20 12:00:00 am,48.8
16-Nov-20 12:00:00 am,48.8
17-Nov-20 12:00:00 am,48.8
18-Nov-20 12:00:00 am,48.7
19-Nov-20 12:00:00 am,48.7
20-Nov-20 12:00:00 am,48.8
21-Nov-20 12:00:00 am,49.2
22-Nov-20 12:00:00 am,49.3
23-Nov-20 12:00:00 am,49.3
24-Nov-20 12:00:00 am,49.2
25-Nov-20 12:00:00 am,48.9
26-Nov-20 12:00:00 am,48.8
27-Nov-20 12:00:00 am,48.9
28-Nov-20 12:00:00 am,49.2
29-Nov-20 12:00:00 am,48.8
30-Nov-20 12:00:00 am,46.6
