Timestamp,P0054_[Cool Arch 4A Space Humidity 1][Cool Arch 4A Space Humidity 1] [P54] [S54V] [Synchronized@1800](%RH)
25-Sep-20 12:00:00 am,43.2
26-Sep-20 12:00:00 am,40.4
27-Sep-20 12:00:00 am,42.2
28-Sep-20 12:00:00 am,43.7
29-Sep-20 12:00:00 am,45.6
30-Sep-20 12:00:00 am,45.3
01-Oct-20 12:00:00 am,43.8
02-Oct-20 12:00:00 am,44.3
03-Oct-20 12:00:00 am,45.0
04-Oct-20 12:00:00 am,45.7
05-Oct-20 12:00:00 am,43.5
06-Oct-20 12:00:00 am,45.7
07-Oct-20 12:00:00 am,45.5
08-Oct-20 12:00:00 am,46.3
09-Oct-20 12:00:00 am,45.2
10-Oct-20 12:00:00 am,44.3
11-Oct-20 12:00:00 am,44.8
12-Oct-20 12:00:00 am,44.9
13-Oct-20 12:00:00 am,44.8
14-Oct-20 12:00:00 am,45.1
15-Oct-20 12:00:00 am,44.8
16-Oct-20 12:00:00 am,44.9
17-Oct-20 12:00:00 am,45.7
18-Oct-20 12:00:00 am,47.3
19-Oct-20 12:00:00 am,48.1
20-Oct-20 12:00:00 am,48.6
21-Oct-20 12:00:00 am,41.8
22-Oct-20 12:00:00 am,43.4
23-Oct-20 12:00:00 am,41.3
24-Oct-20 12:00:00 am,42.3
25-Oct-20 12:00:00 am,40.4
26-Oct-20 12:00:00 am,43.0
27-Oct-20 12:00:00 am,41.5
28-Oct-20 12:00:00 am,43.8
29-Oct-20 12:00:00 am,45.2
30-Oct-20 12:00:00 am,45.9
31-Oct-20 12:00:00 am,42.8
01-Nov-20 12:00:00 am,44.4
02-Nov-20 12:00:00 am,45.8
03-Nov-20 12:00:00 am,41.3
04-Nov-20 12:00:00 am,42.6
05-Nov-20 12:00:00 am,43.0
06-Nov-20 12:00:00 am,41.8
07-Nov-20 12:00:00 am,44.6
08-Nov-20 12:00:00 am,44.0
09-Nov-20 12:00:00 am,44.0
10-Nov-20 12:00:00 am,38.0
11-Nov-20 12:00:00 am,43.2
12-Nov-20 12:00:00 am,40.4
13-Nov-20 12:00:00 am,42.0
14-Nov-20 12:00:00 am,44.1
15-Nov-20 12:00:00 am,44.1
16-Nov-20 12:00:00 am,44.7
17-Nov-20 12:00:00 am,45.5
18-Nov-20 12:00:00 am,45.3
19-Nov-20 12:00:00 am,45.1
20-Nov-20 12:00:00 am,44.5
21-Nov-20 12:00:00 am,44.3
22-Nov-20 12:00:00 am,40.9
23-Nov-20 12:00:00 am,42.6
24-Nov-20 12:00:00 am,43.8
25-Nov-20 12:00:00 am,44.2
26-Nov-20 12:00:00 am,45.0
27-Nov-20 12:00:00 am,44.2
28-Nov-20 12:00:00 am,42.9
29-Nov-20 12:00:00 am,41.5
30-Nov-20 12:00:00 am,43.5
01-Dec-20 12:00:00 am,43.1
02-Dec-20 12:00:00 am,43.3
03-Dec-20 12:00:00 am,44.3
04-Dec-20 12:00:00 am,45.0
05-Dec-20 12:00:00 am,44.2
06-Dec-20 12:00:00 am,44.2
07-Dec-20 12:00:00 am,43.8
