[#I]Device Description,,,
#03     ,,,
,,,
[#S]Device Information,,,
Version = V2.2-2,,,
Serial Number = A18040224,,,
File Name = A19030040_#04_2.xls,,,
Log Interval = 12:00:00,,,
,,,
[#1],,,
Humidity = %rh,,,
Low Alarm Threshold = 40,,,
High Alarm Threshold = 60,,,
,,,
[#2],,,
Temperature = ∞C,,,
Low Alarm Threshold = 10,,,
High Alarm Threshold = 25,,,
,,,
[#H],,,
Date,Time,Humidity,Temperature
,,,
[#D],,,
24/01/2020,13:37:22,37.9,20
25/01/2020,01:37:22,36.9,20.5
25/01/2020,13:37:22,36,20.6
26/01/2020,01:37:22,36.2,20.5
26/01/2020,13:37:22,36.5,20.5
27/01/2020,01:37:22,37.3,20.5
27/01/2020,13:37:22,37.4,20.5
28/01/2020,01:37:22,38.2,20.4
28/01/2020,13:37:22,38.1,20.4
29/01/2020,01:37:22,37.7,20.3
29/01/2020,13:37:22,37.3,20.3
30/01/2020,01:37:22,35.2,20.3
30/01/2020,13:37:23,35.5,20.4
31/01/2020,01:37:22,34,20.4
31/01/2020,13:37:22,33.8,20.5
01/02/2020,01:37:22,33.1,20.3
01/02/2020,13:37:22,32,20.3
02/02/2020,01:37:22,32,20.2
02/02/2020,13:37:22,33.9,20.1
03/02/2020,01:37:22,33.2,20.2
03/02/2020,13:37:22,31.7,20.1
04/02/2020,01:37:22,30.7,20.2
04/02/2020,13:37:22,31,20.3
05/02/2020,01:37:22,30.1,20.4
05/02/2020,13:37:22,29.5,20.4
06/02/2020,01:37:22,29.3,20.4
06/02/2020,13:37:22,42.1,17.6
07/02/2020,01:37:22,40.7,17.5
07/02/2020,13:37:22,40,17.5
08/02/2020,01:37:22,39.6,17.6
08/02/2020,13:37:22,41,17.5
09/02/2020,01:37:22,40.8,17.6
09/02/2020,13:37:22,42.3,17.6
10/02/2020,01:37:22,41.9,17.7
10/02/2020,13:37:22,30.5,20.8
11/02/2020,01:37:22,30.2,21
11/02/2020,13:37:22,31.2,20.8
12/02/2020,01:37:22,31.5,20.8
12/02/2020,13:37:22,31.1,20.9
13/02/2020,01:37:22,31.9,20.7
13/02/2020,13:37:22,32.3,20.7
14/02/2020,01:37:22,31.6,20.8
14/02/2020,13:37:22,32,20.7
15/02/2020,01:37:22,31.5,20.7
15/02/2020,13:37:22,32.4,20.7
16/02/2020,01:37:22,33.1,20.8
16/02/2020,13:37:22,33,20.8
17/02/2020,01:37:22,32.7,21.1
17/02/2020,13:37:22,31.4,21
17/02/2020,14:32:59,42.6,18.2
01/01/2013,00:25:02,48.6,16.1
01/01/2013,12:25:02,48.7,15.8
02/01/2013,00:25:02,49.4,15.8
02/01/2013,12:25:02,49.9,15.8
03/01/2013,00:25:02,50.7,15.7
03/01/2013,12:25:02,50.3,15.8
04/01/2013,00:25:02,51.2,15.8
04/01/2013,12:25:02,49.2,15.8
05/01/2013,00:25:02,49.4,15.8
05/01/2013,01:51:43,49.6,15.8
05/01/2013,01:52:14,49.6,15.9
05/01/2013,13:52:14,49.8,15.9
06/01/2013,01:52:14,50.6,15.9
06/01/2013,13:52:14,51.2,15.9
07/01/2013,01:52:14,51.2,16
07/01/2013,13:52:14,51,16.1
08/01/2013,01:52:14,52,16.3
08/01/2013,13:52:14,52.5,16.4
09/01/2013,01:52:14,53.1,16.3
09/01/2013,13:52:14,53,16.2
10/01/2013,01:52:14,51,16.4
10/01/2013,13:52:14,49.1,16.5
11/01/2013,01:52:14,49.3,16.6
11/01/2013,13:52:14,48.8,16.6
12/01/2013,01:52:14,49.8,16.6
12/01/2013,13:52:14,49.7,16.7
13/01/2013,01:52:14,49.5,16.7
13/01/2013,13:52:14,48.4,16.7
14/01/2013,01:52:14,48.6,16.7
14/01/2013,13:52:14,47.9,16.7
15/01/2013,01:52:14,47.8,16.8
15/01/2013,13:52:14,48.1,16.8
16/01/2013,01:52:14,48.3,16.8
16/01/2013,13:52:14,48.4,16.9
17/01/2013,01:52:14,49.1,16.7
17/01/2013,13:52:14,49.4,16.7
18/01/2013,01:52:15,48.2,16.7
18/01/2013,13:52:14,48,16.7
19/01/2013,01:52:14,49.2,16.7
19/01/2013,13:52:14,49.3,16.7
20/01/2013,01:52:14,47.9,16.7
20/01/2013,13:52:14,48.5,16.7
21/01/2013,01:52:14,49.7,16.8
21/01/2013,13:52:14,50,16.8
22/01/2013,01:52:14,48,16.8
22/01/2013,13:52:14,48.6,16.8
23/01/2013,01:52:14,49.7,16.8
23/01/2013,13:52:14,50,16.9
24/01/2013,01:52:14,48.7,16.9
24/01/2013,13:52:14,48.9,16.9
25/01/2013,01:52:14,50.1,17
25/01/2013,13:52:14,49.5,17
26/01/2013,01:52:14,47.4,17
26/01/2013,13:52:14,47.2,17
27/01/2013,01:52:14,47.3,17.1
27/01/2013,13:52:14,47.7,17.1
28/01/2013,01:52:14,47,17.1
28/01/2013,13:52:14,47.5,17.2
29/01/2013,01:52:14,46.5,17.2
29/01/2013,13:52:14,47.1,17.2
30/01/2013,01:52:14,46.9,17.3
30/01/2013,13:52:14,47,17.3
31/01/2013,01:52:14,46.9,17.3
31/01/2013,13:52:14,47.3,17.4
01/02/2013,01:52:14,47.2,17.3
01/02/2013,13:52:14,46.6,17.4
02/02/2013,01:52:14,46.2,17.3
02/02/2013,13:52:14,47.4,17.2
03/02/2013,01:52:14,46.6,17
03/02/2013,13:52:14,47.6,17
04/02/2013,01:52:14,46.2,16.9
04/02/2013,13:52:14,47.4,16.8
04/02/2013,20:40:43,51.2,16.9
23/03/2020,11:40:10,--.-,--.-
23/03/2020,11:41:21,51.9,17
23/03/2020,23:41:21,49.3,16.9
24/03/2020,11:41:21,47.8,16.8
24/03/2020,23:41:21,46.7,16.8
25/03/2020,11:41:21,49,16.8
25/03/2020,23:41:21,47.9,16.8
26/03/2020,11:41:21,46.9,16.8
26/03/2020,23:41:21,46.1,16.7
27/03/2020,11:41:21,48.8,16.8
27/03/2020,23:41:21,47.7,16.8
28/03/2020,11:41:21,47.7,16.7
28/03/2020,23:41:21,46.5,16.7
29/03/2020,11:41:21,48.8,16.7
29/03/2020,23:41:21,47.6,16.7
30/03/2020,11:41:21,46.7,16.6
30/03/2020,23:41:21,45.9,16.5
31/03/2020,11:41:21,48.6,16.5
31/03/2020,23:41:21,47.6,16.5
01/04/2020,08:50:03,47.2,16.5
01/04/2020,20:50:03,48.5,16.4
02/04/2020,08:50:04,50.4,16.3
02/04/2020,20:50:03,52.5,16.3
03/04/2020,08:50:03,51,16.2
03/04/2020,20:50:03,50.5,16.2
04/04/2020,08:50:03,50,16.1
04/04/2020,20:50:03,50.6,16.1
05/04/2020,08:50:03,50,16.1
05/04/2020,20:50:03,50.1,16.2
06/04/2020,08:50:03,49.5,16.2
06/04/2020,20:50:03,49.4,16.2
07/04/2020,08:50:03,49.4,16.3
07/04/2020,20:50:03,49.4,16.4
08/04/2020,08:50:03,49.2,16.5
08/04/2020,15:27:54,48.5,17
08/04/2020,15:36:42,50.4,17.1
09/04/2020,03:36:42,49.6,16.7
09/04/2020,15:36:42,48.9,16.6
10/04/2020,03:36:42,48.8,16.6
10/04/2020,15:36:42,48,16.7
11/04/2020,03:36:42,48.7,16.7
11/04/2020,15:36:42,51,16.8
12/04/2020,03:36:42,50.8,16.9
12/04/2020,15:36:42,48.7,16.9
13/04/2020,03:36:42,48.6,17
13/04/2020,15:36:42,48.2,17
14/04/2020,03:36:42,48.1,17.1
14/04/2020,15:36:42,49.6,17.1
15/04/2020,03:36:42,49.4,17.1
15/04/2020,15:36:42,50.3,17.2
16/04/2020,03:36:42,49.5,17.2
16/04/2020,15:36:42,51.4,17.2
17/04/2020,03:36:42,53.8,17.3
17/04/2020,15:36:42,55.9,17.3
18/04/2020,03:36:42,57.4,17.3
18/04/2020,15:36:42,58.6,17.4
19/04/2020,03:36:42,59.7,17.4
19/04/2020,15:36:42,60.6,17.4
20/04/2020,03:36:42,61.3,17.4
20/04/2020,15:36:42,61.9,17.4
21/04/2020,03:36:42,62.7,17.4
21/04/2020,15:36:42,63,17.4
22/04/2020,03:36:42,63.7,17.5
22/04/2020,15:36:42,64.2,17.5
23/04/2020,03:36:42,64.7,17.5
23/04/2020,15:36:42,65.1,17.5
24/04/2020,03:36:42,65.3,17.6
24/04/2020,15:36:42,65.8,17.6
25/04/2020,03:36:42,52.7,17.6
25/04/2020,15:36:42,50.1,17.5
26/04/2020,03:36:42,49.9,17.6
26/04/2020,15:36:42,50.3,17.6
27/04/2020,03:36:42,49.8,17.6
27/04/2020,15:36:42,49.1,17.6
28/04/2020,03:36:42,49.1,17.6
28/04/2020,15:36:42,49,17.6
29/04/2020,03:36:42,49.1,17.6
29/04/2020,15:36:42,48.2,17.6
30/04/2020,03:36:42,48.6,17.6
30/04/2020,15:36:42,48,17.6
01/05/2020,03:36:42,48.4,17.6
01/05/2020,15:36:42,47.3,17.5
02/05/2020,03:36:42,48,17.6
02/05/2020,15:36:42,48,17.5
03/05/2020,03:36:42,48.7,17.6
03/05/2020,15:36:42,47.5,17.5
04/05/2020,03:36:42,47.9,17.5
04/05/2020,15:36:42,47.5,17.5
05/05/2020,03:36:42,48,17.5
05/05/2020,15:36:43,47.4,17.5
06/05/2020,03:36:42,48.1,17.5
06/05/2020,15:36:42,49.6,17.5
07/05/2020,03:36:42,49.3,17.5
07/05/2020,15:36:42,50,17.5
08/05/2020,03:36:42,49.6,17.5
08/05/2020,15:36:42,49,17.5
09/05/2020,03:36:42,49,17.5
09/05/2020,15:36:42,48.5,17.5
10/05/2020,03:36:42,48.7,17.6
10/05/2020,15:36:42,48.1,17.6
11/05/2020,03:36:42,48.3,17.7
11/05/2020,15:36:42,50,17.7
12/05/2020,03:36:42,49.6,17.7
12/05/2020,15:36:42,49.5,17.6
13/05/2020,03:36:42,49.7,17.6
13/05/2020,15:36:42,50,17.7
14/05/2020,03:36:42,50.1,17.6
14/05/2020,15:36:42,49.3,17.6
15/05/2020,03:36:42,49.3,17.6
15/05/2020,15:36:42,48.5,17.5
16/05/2020,03:36:42,48.5,17.5
16/05/2020,15:36:42,47.9,17.5
17/05/2020,03:36:42,48.4,17.5
17/05/2020,15:36:42,48.8,17.5
18/05/2020,03:36:42,48.8,17.5
18/05/2020,15:36:42,47.9,17.6
19/05/2020,03:36:42,48.4,17.7
19/05/2020,15:36:42,48.3,17.7
20/05/2020,03:36:42,48.4,17.7
20/05/2020,15:36:42,48.2,17.8
21/05/2020,03:36:42,48.1,17.9
21/05/2020,15:36:42,49.4,18
22/05/2020,03:36:42,49.1,18.2
22/05/2020,15:36:42,48.5,18.2
23/05/2020,03:36:42,48.4,18.3
23/05/2020,15:36:42,47.6,18.4
24/05/2020,03:36:42,48,18.5
24/05/2020,15:36:42,47.6,18.5
25/05/2020,03:36:42,48.3,18.6
25/05/2020,15:36:42,48.1,18.7
26/05/2020,03:36:42,48.6,18.8
26/05/2020,15:36:42,48.1,18.8
27/05/2020,03:36:42,48.3,18.9
27/05/2020,15:36:43,50,19.1
28/05/2020,03:36:42,49.4,19.2
28/05/2020,15:36:42,48.9,19.3
29/05/2020,03:36:42,48.7,19.5
29/05/2020,15:36:42,48.3,19.5
30/05/2020,03:36:42,48.3,19.7
30/05/2020,15:36:42,45.8,19.7
31/05/2020,03:36:42,45.6,19.8
31/05/2020,15:36:42,44.4,19.8
01/06/2020,03:36:42,44.8,20
01/06/2020,15:36:42,45.8,20.1
02/06/2020,03:36:42,45.6,20.2
02/06/2020,15:36:42,43.7,20.2
03/06/2020,03:36:43,44.4,20.4
03/06/2020,15:36:42,43.4,20.5
04/06/2020,03:36:42,44,20.6
04/06/2020,15:36:42,43.6,20.6
05/06/2020,03:36:42,44.7,20.7
05/06/2020,15:36:42,44.6,20.8
06/06/2020,03:36:42,44.5,20.8
06/06/2020,15:36:42,44.2,20.7
07/06/2020,03:36:42,44.6,20.7
07/06/2020,15:36:42,45.2,20.7
08/06/2020,03:36:42,45.5,20.7
08/06/2020,15:36:42,46.2,20.7
09/06/2020,03:36:42,45.7,20.7
09/06/2020,15:36:42,45.3,20.6
10/06/2020,03:36:42,46.5,20.6
10/06/2020,15:36:42,44.9,20.7
11/06/2020,03:36:42,43.3,20.7
11/06/2020,15:36:42,42.6,20.7
12/06/2020,03:36:42,41.9,20.7
12/06/2020,15:36:42,43,20.7
13/06/2020,03:36:42,43.8,20.7
13/06/2020,15:36:42,44,20.7
14/06/2020,03:36:42,44.3,20.7
14/06/2020,15:36:42,43.6,20.7
15/06/2020,03:36:42,44.1,20.7
15/06/2020,15:36:42,43.2,20.9
16/06/2020,03:36:42,42.6,21
16/06/2020,15:36:42,42.4,21.1
17/06/2020,03:36:42,42.4,21.3
17/06/2020,15:36:42,41.8,21.4
18/06/2020,03:36:42,41.7,21.5
18/06/2020,15:36:42,41.6,21.5
19/06/2020,03:36:42,41.8,21.5
19/06/2020,15:36:42,41.5,21.7
20/06/2020,03:36:42,41.8,21.5
20/06/2020,15:36:42,42.6,21.4
21/06/2020,03:36:42,42.6,21.3
21/06/2020,15:36:42,43.2,21.3
22/06/2020,03:36:42,43.2,21.3
22/06/2020,15:36:42,44,21.3
23/06/2020,03:36:42,45.4,21.4
23/06/2020,15:36:42,45.4,21.4
24/06/2020,03:36:42,47.8,21.5
24/06/2020,15:36:42,51.5,21.6
25/06/2020,03:36:43,52.8,21.6
25/06/2020,15:36:42,54.1,21.6
26/06/2020,03:36:42,50.9,21.6
26/06/2020,15:36:42,48.9,21.8
27/06/2020,03:36:42,47.7,21.9
27/06/2020,15:36:42,47.5,22
28/06/2020,03:36:42,46.7,22
28/06/2020,15:36:42,45,22
29/06/2020,03:36:42,45.1,22.1
29/06/2020,15:36:42,46.3,22
30/06/2020,03:36:42,45.5,22
30/06/2020,15:36:42,45.4,22
01/07/2020,03:36:42,47.3,22
01/07/2020,15:36:42,47.8,21.9
02/07/2020,03:36:42,48.6,22
02/07/2020,15:36:42,49.1,22
03/07/2020,03:36:42,50.9,22
03/07/2020,15:36:42,49.3,21.9
04/07/2020,03:36:42,49.3,21.9
04/07/2020,15:36:42,48.2,21.6
05/07/2020,03:36:42,48.5,21.6
05/07/2020,15:36:42,47.9,21.5
06/07/2020,03:36:42,48.3,21.5
06/07/2020,15:36:42,48.2,21.5
07/07/2020,03:36:42,48.3,21.5
07/07/2020,15:36:42,46.5,21.4
08/07/2020,03:36:42,47.7,21.5
08/07/2020,15:36:42,47.3,21.5
09/07/2020,03:36:42,48.2,21.6
09/07/2020,15:36:42,47.1,21.5
10/07/2020,03:36:42,48.1,21.6
10/07/2020,15:36:42,47.8,21.4
11/07/2020,03:36:42,48.4,21.5
11/07/2020,15:36:42,48,21.5
12/07/2020,03:36:42,48.5,21.5
12/07/2020,15:36:42,48,21.4
13/07/2020,03:36:42,48.1,21.5
13/07/2020,15:36:42,47.9,21.4
14/07/2020,03:36:42,48.3,21.4
14/07/2020,15:36:42,50.9,21.5
15/07/2020,03:36:42,50.3,21.5
15/07/2020,15:36:42,49.1,21.4
16/07/2020,03:36:42,48.7,21.5
16/07/2020,15:36:42,47.9,21.5
17/07/2020,03:36:42,48.4,21.5
17/07/2020,15:36:42,48.1,21.5
18/07/2020,03:36:42,48.5,21.6
18/07/2020,15:36:42,47.6,21.5
19/07/2020,03:36:42,48,21.6
19/07/2020,15:36:42,48,21.6
20/07/2020,03:36:42,48.5,21.7
20/07/2020,15:36:42,48,21.6
21/07/2020,03:36:42,48.6,21.7
21/07/2020,15:36:42,47.9,21.7
22/07/2020,03:36:42,47.7,21.8
22/07/2020,15:36:42,47.5,21.8
23/07/2020,03:36:42,48.2,21.9
23/07/2020,15:36:43,48.2,21.8
24/07/2020,03:36:42,48.6,21.9
24/07/2020,15:36:42,48.4,21.9
25/07/2020,03:36:42,48.7,21.9
25/07/2020,15:36:42,48,21.9
26/07/2020,03:36:42,48.6,22
26/07/2020,15:36:42,48.3,21.9
27/07/2020,03:36:42,48.9,22
27/07/2020,15:36:42,48.6,21.9
28/07/2020,03:36:42,48.8,22
28/07/2020,15:36:42,48.4,21.9
29/07/2020,03:36:42,48.7,21.9
29/07/2020,15:36:42,48.2,21.8
30/07/2020,03:36:42,48.7,21.8
30/07/2020,15:36:42,47.6,21.7
31/07/2020,03:36:42,48.2,21.9
31/07/2020,15:36:42,47.5,21.8
01/08/2020,03:36:42,48.5,21.9
01/08/2020,15:36:42,47.9,21.9
02/08/2020,03:36:42,48.6,22
02/08/2020,15:36:42,48.5,21.9
03/08/2020,03:36:42,49,22
03/08/2020,15:36:42,47.5,21.9
04/08/2020,03:36:42,48.4,22
04/08/2020,15:36:42,48.1,21.9
05/08/2020,03:36:42,48.7,21.9
05/08/2020,15:36:42,47.4,21.8
06/08/2020,03:36:42,48.3,21.9
06/08/2020,15:36:42,48.3,21.8
07/08/2020,03:36:42,48.6,21.8
07/08/2020,15:36:42,48.3,21.8
08/08/2020,03:36:42,48.8,21.9
08/08/2020,15:36:42,49.2,21.9
09/08/2020,03:36:42,49.3,22
09/08/2020,15:36:42,47.4,21.9
10/08/2020,03:36:42,48.4,22
10/08/2020,15:36:42,49,22
11/08/2020,03:36:42,49.7,22.1
