"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6"
"Date/Time","Date/Time","ch1","ch2","ch3","ch4","Cumulative Illuminance","Cumulative Amount of UV Light"
"","","lx","mW/cm2","°C","%","lxh","W/cm2h"
"2021-08-21 08:06:00","44429.3375000000","21.53","0.000","22.7","53.0","",""
"2021-08-21 08:21:00","44429.3479166667","24.52","0.000","22.7","53.0","",""
"2021-08-21 08:36:00","44429.3583333333","34.33","0.000","22.8","53.0","",""
"2021-08-21 08:51:00","44429.3687500000","32.11","0.000","22.8","53.0","",""
"2021-08-21 09:06:00","44429.3791666667","29.19","0.000","22.9","53.0","",""
"2021-08-21 09:21:00","44429.3895833333","44.54","0.000","22.9","53.0","",""
"2021-08-21 09:36:00","44429.4000000000","31.42","0.000","22.9","53.0","",""
"2021-08-21 09:51:00","44429.4104166667","29.50","0.000","23.0","53.0","",""
"2021-08-21 10:06:00","44429.4208333333","27.20","0.000","23.0","53.0","",""
"2021-08-21 10:21:00","44429.4312500000","20.15","0.000","23.0","53.0","",""
"2021-08-21 10:36:00","44429.4416666667","30.76","0.000","23.1","53.0","",""
"2021-08-21 10:51:00","44429.4520833333","30.55","0.000","23.1","53.0","",""
"2021-08-21 11:06:00","44429.4625000000","30.10","0.000","23.1","53.0","",""
"2021-08-21 11:21:00","44429.4729166667","26.79","0.000","23.1","53.0","",""
"2021-08-21 11:36:00","44429.4833333333","23.90","0.000","23.1","53.0","",""
"2021-08-21 11:51:00","44429.4937500000","36.20","0.000","23.2","53.0","",""
"2021-08-21 12:06:00","44429.5041666667","43.60","0.000","23.2","53.0","",""
"2021-08-21 12:21:00","44429.5145833333","39.73","0.000","23.2","53.0","",""
"2021-08-21 12:36:00","44429.5250000000","37.51","0.000","23.2","53.0","",""
"2021-08-21 12:51:00","44429.5354166667","29.84","0.000","23.2","53.0","",""
"2021-08-21 13:06:00","44429.5458333333","29.16","0.000","23.2","53.0","",""
"2021-08-21 13:21:00","44429.5562500000","32.75","0.000","23.2","53.0","",""
"2021-08-21 13:36:00","44429.5666666667","45.96","0.000","23.2","53.0","",""
"2021-08-21 13:51:00","44429.5770833333","38.18","0.000","23.2","53.0","",""
"2021-08-21 14:06:00","44429.5875000000","30.84","0.000","23.2","53.0","",""
"2021-08-21 14:21:00","44429.5979166667","30.80","0.000","23.2","53.0","",""
"2021-08-21 14:36:00","44429.6083333333","33.96","0.000","23.2","53.0","",""
"2021-08-21 14:51:00","44429.6187500000","31.70","0.000","23.2","53.0","",""
"2021-08-21 15:06:00","44429.6291666667","29.17","0.000","23.2","53.0","",""
"2021-08-21 15:21:00","44429.6395833333","26.55","0.000","23.2","53.0","",""
"2021-08-21 15:36:00","44429.6500000000","18.48","0.000","23.2","53.0","",""
"2021-08-21 15:51:00","44429.6604166667","14.91","0.000","23.2","53.0","",""
"2021-08-21 16:06:00","44429.6708333333","37.49","0.000","23.2","53.0","",""
"2021-08-21 16:21:00","44429.6812500000","69.16","0.000","23.2","53.0","",""
"2021-08-21 16:36:00","44429.6916666667","52.30","0.000","23.2","53.0","",""
"2021-08-21 16:51:00","44429.7020833333","31.64","0.000","23.2","53.0","",""
"2021-08-21 17:06:00","44429.7125000000","28.06","0.000","23.2","53.0","",""
"2021-08-21 17:21:00","44429.7229166667","52.34","0.000","23.2","53.0","",""
"2021-08-21 17:36:00","44429.7333333333","27.22","0.000","23.2","53.0","",""
"2021-08-21 17:51:00","44429.7437500000","19.89","0.000","23.2","53.0","",""
"2021-08-21 18:06:00","44429.7541666667","29.55","0.000","23.2","53.0","",""
"2021-08-21 18:21:00","44429.7645833333","23.98","0.000","23.2","53.0","",""
"2021-08-21 18:36:00","44429.7750000000","17.47","0.000","23.2","53.0","",""
"2021-08-21 18:51:00","44429.7854166667","6.40","0.000","23.2","53.0","",""
"2021-08-21 19:06:00","44429.7958333333","4.26","0.000","23.2","53.0","",""
"2021-08-21 19:21:00","44429.8062500000","1.13","0.000","23.2","53.0","",""
"2021-08-21 19:36:00","44429.8166666667","0.19","0.000","23.2","53.0","",""
"2021-08-21 19:51:00","44429.8270833333","0.07","0.000","23.2","53.0","",""
"2021-08-21 20:06:00","44429.8375000000","0.06","0.000","23.2","53.0","",""
"2021-08-21 20:21:00","44429.8479166667","0.06","0.000","23.2","53.0","",""
"2021-08-21 20:36:00","44429.8583333333","0.06","0.000","23.2","53.0","",""
"2021-08-21 20:51:00","44429.8687500000","0.06","0.000","23.1","53.0","",""
"2021-08-21 21:06:00","44429.8791666667","0.06","0.000","23.1","53.0","",""
"2021-08-21 21:21:00","44429.8895833333","0.06","0.000","23.1","53.0","",""
"2021-08-21 21:36:00","44429.9000000000","0.06","0.000","23.1","52.0","",""
"2021-08-21 21:51:00","44429.9104166667","0.06","0.000","23.0","53.0","",""
"2021-08-21 22:06:00","44429.9208333333","0.06","0.000","23.0","53.0","",""
"2021-08-21 22:21:00","44429.9312500000","0.06","0.000","23.0","52.0","",""
"2021-08-21 22:36:00","44429.9416666667","0.06","0.000","23.0","53.0","",""
"2021-08-21 22:51:00","44429.9520833333","0.06","0.000","23.0","53.0","",""
"2021-08-21 23:06:00","44429.9625000000","0.06","0.000","22.9","52.0","",""
"2021-08-21 23:21:00","44429.9729166667","0.06","0.000","22.9","53.0","",""
"2021-08-21 23:36:00","44429.9833333333","0.05","0.000","22.9","53.0","",""
"2021-08-21 23:51:00","44429.9937500000","0.06","0.000","22.9","52.0","",""
"2021-08-22 00:06:00","44430.0041666667","0.06","0.000","22.8","53.0","",""
"2021-08-22 00:21:00","44430.0145833333","0.06","0.000","22.8","53.0","",""
