"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6"
"Date/Time","Date/Time","ch1","ch2","ch3","ch4","Cumulative Illuminance","Cumulative Amount of UV Light"
"","","lx","mW/cm2","°C","%","lxh","W/cm2h"
"2021-08-21 08:01:43","44429.3345254630","0.05","0.000","23.0","53.0","",""
"2021-08-21 08:16:43","44429.3449421296","0.05","0.000","23.0","53.0","",""
"2021-08-21 08:31:43","44429.3553587963","0.07","0.000","23.0","53.0","",""
"2021-08-21 08:46:43","44429.3657754630","0.09","0.000","23.1","53.0","",""
"2021-08-21 09:01:43","44429.3761921296","0.08","0.000","23.1","53.0","",""
"2021-08-21 09:16:43","44429.3866087963","0.13","0.000","23.1","53.0","",""
"2021-08-21 09:31:43","44429.3970254630","0.15","0.000","23.2","53.0","",""
"2021-08-21 09:46:43","44429.4074421296","0.09","0.000","23.2","53.0","",""
"2021-08-21 10:01:43","44429.4178587963","0.06","0.000","23.2","53.0","",""
"2021-08-21 10:16:43","44429.4282754630","0.05","0.000","23.3","53.0","",""
"2021-08-21 10:31:43","44429.4386921296","0.06","0.000","23.3","53.0","",""
"2021-08-21 10:46:43","44429.4491087963","0.07","0.000","23.3","53.0","",""
"2021-08-21 11:01:43","44429.4595254630","0.07","0.000","23.3","53.0","",""
"2021-08-21 11:16:43","44429.4699421296","0.07","0.000","23.3","53.0","",""
"2021-08-21 11:31:43","44429.4803587963","0.05","0.000","23.3","53.0","",""
"2021-08-21 11:46:43","44429.4907754630","0.08","0.000","23.3","53.0","",""
"2021-08-21 12:01:43","44429.5011921296","0.12","0.000","23.3","53.0","",""
"2021-08-21 12:16:43","44429.5116087963","0.11","0.000","23.4","53.0","",""
"2021-08-21 12:31:43","44429.5220254630","0.09","0.000","23.4","52.0","",""
"2021-08-21 12:46:43","44429.5324421296","0.07","0.000","23.4","53.0","",""
"2021-08-21 13:01:43","44429.5428587963","0.06","0.000","23.4","53.0","",""
"2021-08-21 13:16:43","44429.5532754630","0.07","0.000","23.4","53.0","",""
"2021-08-21 13:31:43","44429.5636921296","0.10","0.000","23.4","53.0","",""
"2021-08-21 13:46:43","44429.5741087963","0.13","0.000","23.4","52.0","",""
"2021-08-21 14:01:43","44429.5845254630","0.07","0.000","23.4","53.0","",""
"2021-08-21 14:16:43","44429.5949421296","0.10","0.000","23.4","53.0","",""
"2021-08-21 14:31:43","44429.6053587963","0.09","0.000","23.4","52.0","",""
"2021-08-21 14:46:43","44429.6157754630","0.09","0.000","23.4","53.0","",""
"2021-08-21 15:01:43","44429.6261921296","0.07","0.000","23.4","52.0","",""
"2021-08-21 15:16:43","44429.6366087963","0.06","0.000","23.4","53.0","",""
"2021-08-21 15:31:43","44429.6470254630","0.04","0.000","23.4","53.0","",""
"2021-08-21 15:46:43","44429.6574421296","0.02","0.000","23.4","52.0","",""
"2021-08-21 16:01:43","44429.6678587963","0.06","0.000","23.4","53.0","",""
"2021-08-21 16:16:43","44429.6782754630","0.22","0.000","23.4","52.0","",""
"2021-08-21 16:31:43","44429.6886921296","0.14","0.000","23.4","52.0","",""
"2021-08-21 16:46:43","44429.6991087963","0.13","0.000","23.4","53.0","",""
"2021-08-21 17:01:43","44429.7095254630","0.05","0.000","23.3","52.0","",""
"2021-08-21 17:16:43","44429.7199421296","0.12","0.000","23.3","53.0","",""
"2021-08-21 17:31:43","44429.7303587963","0.08","0.000","23.4","53.0","",""
"2021-08-21 17:46:43","44429.7407754630","0.05","0.000","23.3","52.0","",""
"2021-08-21 18:01:43","44429.7511921296","0.05","0.000","23.3","53.0","",""
"2021-08-21 18:16:43","44429.7616087963","0.04","0.000","23.3","53.0","",""
"2021-08-21 18:31:43","44429.7720254630","0.02","0.000","23.3","52.0","",""
"2021-08-21 18:46:43","44429.7824421296","0.00","0.000","23.3","53.0","",""
"2021-08-21 19:01:43","44429.7928587963","0.00","0.000","23.3","53.0","",""
"2021-08-21 19:16:43","44429.8032754630","0.00","0.000","23.3","52.0","",""
"2021-08-21 19:31:43","44429.8136921296","0.00","0.000","23.3","52.0","",""
"2021-08-21 19:46:43","44429.8241087963","0.00","0.000","23.3","53.0","",""
"2021-08-21 20:01:43","44429.8345254630","0.00","0.000","23.3","52.0","",""
"2021-08-21 20:16:43","44429.8449421296","0.00","0.000","23.3","52.0","",""
"2021-08-21 20:31:43","44429.8553587963","0.00","0.000","23.3","53.0","",""
"2021-08-21 20:46:43","44429.8657754630","0.00","0.000","23.2","52.0","",""
"2021-08-21 21:01:43","44429.8761921296","0.00","0.000","23.2","52.0","",""
"2021-08-21 21:16:43","44429.8866087963","0.00","0.000","23.2","53.0","",""
"2021-08-21 21:31:43","44429.8970254630","0.00","0.000","23.2","52.0","",""
"2021-08-21 21:46:43","44429.9074421296","0.00","0.000","23.2","52.0","",""
"2021-08-21 22:01:43","44429.9178587963","0.00","0.000","23.2","53.0","",""
"2021-08-21 22:16:43","44429.9282754630","0.00","0.000","23.2","53.0","",""
"2021-08-21 22:31:43","44429.9386921296","0.00","0.000","23.1","52.0","",""
"2021-08-21 22:46:43","44429.9491087963","0.00","0.000","23.1","52.0","",""
"2021-08-21 23:01:43","44429.9595254630","0.00","0.000","23.1","53.0","",""
"2021-08-21 23:16:43","44429.9699421296","0.00","0.000","23.1","53.0","",""
"2021-08-21 23:31:43","44429.9803587963","0.00","0.000","23.1","52.0","",""
"2021-08-21 23:46:43","44429.9907754630","0.00","0.000","23.1","53.0","",""
"2021-08-22 00:01:43","44430.0011921296","0.00","0.000","23.1","53.0","",""
"2021-08-22 00:16:43","44430.0116087963","0.00","0.000","23.1","52.0","",""
