"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6"
"Date/Time","Date/Time","ch1","ch2","ch3","ch4","Cumulative Illuminance","Cumulative Amount of UV Light"
"","","lx","mW/cm2","°C","%","lxh","W/cm2h"
"2021-08-21 08:05:50","44429.3373842593","41.00","0.000","22.9","50.0","",""
"2021-08-21 08:20:50","44429.3478009259","38.72","0.000","22.9","50.0","",""
"2021-08-21 08:35:50","44429.3582175926","62.66","0.000","23.0","50.0","",""
"2021-08-21 08:50:50","44429.3686342593","50.54","0.000","23.0","50.0","",""
"2021-08-21 09:05:50","44429.3790509259","94.84","0.000","23.1","50.0","",""
"2021-08-21 09:20:50","44429.3894675926","136.50","0.000","23.1","50.0","",""
"2021-08-21 09:35:50","44429.3998842593","144.50","0.000","23.2","50.0","",""
"2021-08-21 09:50:50","44429.4103009259","63.46","0.000","23.2","50.0","",""
"2021-08-21 10:05:50","44429.4207175926","47.40","0.000","23.2","50.0","",""
"2021-08-21 10:20:50","44429.4311342593","42.34","0.000","23.3","50.0","",""
"2021-08-21 10:35:50","44429.4415509259","56.82","0.000","23.3","50.0","",""
"2021-08-21 10:50:50","44429.4519675926","53.46","0.000","23.3","50.0","",""
"2021-08-21 11:05:50","44429.4623842593","63.30","0.000","23.3","50.0","",""
"2021-08-21 11:20:50","44429.4728009259","59.52","0.000","23.3","50.0","",""
"2021-08-21 11:35:50","44429.4832175926","43.60","0.000","23.3","50.0","",""
"2021-08-21 11:50:50","44429.4936342593","66.38","0.000","23.3","50.0","",""
"2021-08-21 12:05:50","44429.5040509259","74.36","0.000","23.4","50.0","",""
"2021-08-21 12:20:50","44429.5144675926","62.42","0.000","23.4","50.0","",""
"2021-08-21 12:35:50","44429.5248842593","60.38","0.000","23.4","50.0","",""
"2021-08-21 12:50:50","44429.5353009259","53.64","0.000","23.4","50.0","",""
"2021-08-21 13:05:50","44429.5457175926","50.98","0.000","23.4","50.0","",""
"2021-08-21 13:20:50","44429.5561342593","50.56","0.000","23.4","50.0","",""
"2021-08-21 13:35:50","44429.5665509259","85.04","0.000","23.4","50.0","",""
"2021-08-21 13:50:50","44429.5769675926","86.84","0.000","23.4","50.0","",""
"2021-08-21 14:05:50","44429.5873842593","78.58","0.000","23.4","50.0","",""
"2021-08-21 14:20:50","44429.5978009259","90.72","0.000","23.4","50.0","",""
"2021-08-21 14:35:50","44429.6082175926","84.56","0.000","23.4","50.0","",""
"2021-08-21 14:50:50","44429.6186342593","68.54","0.000","23.4","50.0","",""
"2021-08-21 15:05:50","44429.6290509259","66.90","0.000","23.4","50.0","",""
"2021-08-21 15:20:50","44429.6394675926","45.40","0.000","23.4","50.0","",""
"2021-08-21 15:35:50","44429.6498842593","30.55","0.000","23.4","50.0","",""
"2021-08-21 15:50:50","44429.6603009259","25.44","0.000","23.4","50.0","",""
"2021-08-21 16:05:50","44429.6707175926","53.40","0.000","23.4","50.0","",""
"2021-08-21 16:20:50","44429.6811342593","84.20","0.000","23.4","50.0","",""
"2021-08-21 16:35:50","44429.6915509259","72.96","0.000","23.4","50.0","",""
"2021-08-21 16:50:50","44429.7019675926","59.22","0.000","23.4","50.0","",""
"2021-08-21 17:05:50","44429.7123842593","34.28","0.000","23.4","50.0","",""
"2021-08-21 17:20:50","44429.7228009259","46.12","0.000","23.4","50.0","",""
"2021-08-21 17:35:50","44429.7332175926","52.82","0.000","23.4","50.0","",""
"2021-08-21 17:50:50","44429.7436342593","43.80","0.000","23.4","50.0","",""
"2021-08-21 18:05:50","44429.7540509259","33.85","0.000","23.4","50.0","",""
"2021-08-21 18:20:50","44429.7644675926","25.09","0.000","23.4","50.0","",""
"2021-08-21 18:35:50","44429.7748842593","17.17","0.000","23.4","50.0","",""
"2021-08-21 18:50:50","44429.7853009259","7.44","0.000","23.4","50.0","",""
"2021-08-21 19:05:50","44429.7957175926","3.88","0.000","23.4","50.0","",""
"2021-08-21 19:20:50","44429.8061342593","1.35","0.000","23.4","50.0","",""
"2021-08-21 19:35:50","44429.8165509259","0.20","0.000","23.3","50.0","",""
"2021-08-21 19:50:50","44429.8269675926","0.04","0.000","23.3","50.0","",""
"2021-08-21 20:05:50","44429.8373842593","0.02","0.000","23.3","50.0","",""
"2021-08-21 20:20:50","44429.8478009259","0.03","0.000","23.3","50.0","",""
"2021-08-21 20:35:50","44429.8582175926","0.02","0.000","23.2","50.0","",""
"2021-08-21 20:50:50","44429.8686342593","0.02","0.000","23.2","50.0","",""
"2021-08-21 21:05:50","44429.8790509259","0.03","0.000","23.2","50.0","",""
"2021-08-21 21:20:50","44429.8894675926","0.03","0.000","23.2","50.0","",""
"2021-08-21 21:35:50","44429.8998842593","0.03","0.000","23.2","50.0","",""
"2021-08-21 21:50:50","44429.9103009259","0.02","0.000","23.1","50.0","",""
"2021-08-21 22:05:50","44429.9207175926","0.03","0.000","23.1","50.0","",""
"2021-08-21 22:20:50","44429.9311342593","0.03","0.000","23.1","50.0","",""
"2021-08-21 22:35:50","44429.9415509259","0.03","0.000","23.1","50.0","",""
"2021-08-21 22:50:50","44429.9519675926","0.03","0.000","23.1","50.0","",""
"2021-08-21 23:05:50","44429.9623842593","0.02","0.000","23.0","50.0","",""
"2021-08-21 23:20:50","44429.9728009259","0.02","0.000","23.0","50.0","",""
"2021-08-21 23:35:50","44429.9832175926","0.02","0.000","23.0","50.0","",""
"2021-08-21 23:50:50","44429.9936342593","0.02","0.000","23.0","50.0","",""
"2021-08-22 00:05:50","44430.0040509259","0.02","0.000","23.0","50.0","",""
"2021-08-22 00:20:50","44430.0144675926","0.02","0.000","23.0","50.0","",""
