"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5","No.6"
"Date/Time","Date/Time","ch1","ch2","ch3","ch4","Cumulative Illuminance","Cumulative Amount of UV Light"
"","","lx","mW/cm2","°C","%","lxh","W/cm2h"
"2021-08-21 07:43:21","44429.3217708333","0.29","0.000","23.5","52.0","",""
"2021-08-21 07:58:21","44429.3321875000","0.38","0.000","23.5","52.0","",""
"2021-08-21 08:13:21","44429.3426041667","0.31","0.000","23.6","52.0","",""
"2021-08-21 08:28:21","44429.3530208333","0.43","0.000","23.6","52.0","",""
"2021-08-21 08:43:21","44429.3634375000","0.62","0.000","23.6","52.0","",""
"2021-08-21 08:58:21","44429.3738541667","0.50","0.000","23.6","52.0","",""
"2021-08-21 09:13:21","44429.3842708333","0.71","0.000","23.6","52.0","",""
"2021-08-21 09:28:21","44429.3946875000","0.81","0.000","23.7","52.0","",""
"2021-08-21 09:43:21","44429.4051041667","0.61","0.000","23.7","52.0","",""
"2021-08-21 09:58:21","44429.4155208333","0.44","0.000","23.7","52.0","",""
"2021-08-21 10:13:21","44429.4259375000","0.42","0.000","23.7","52.0","",""
"2021-08-21 10:28:21","44429.4363541667","0.40","0.000","23.8","52.0","",""
"2021-08-21 10:43:21","44429.4467708333","0.49","0.000","23.8","52.0","",""
"2021-08-21 10:58:21","44429.4571875000","0.47","0.000","23.8","52.0","",""
"2021-08-21 11:13:21","44429.4676041667","0.50","0.000","23.8","52.0","",""
"2021-08-21 11:28:21","44429.4780208333","0.39","0.000","23.8","52.0","",""
"2021-08-21 11:43:21","44429.4884375000","0.44","0.000","23.8","52.0","",""
"2021-08-21 11:58:21","44429.4988541667","0.67","0.000","23.9","52.0","",""
"2021-08-21 12:13:21","44429.5092708333","0.63","0.000","23.9","52.0","",""
"2021-08-21 12:28:21","44429.5196875000","0.59","0.000","23.9","52.0","",""
"2021-08-21 12:43:21","44429.5301041667","0.51","0.000","23.9","52.0","",""
"2021-08-21 12:58:21","44429.5405208333","0.42","0.000","23.9","52.0","",""
"2021-08-21 13:13:21","44429.5509375000","0.46","0.000","23.9","52.0","",""
"2021-08-21 13:28:21","44429.5613541667","0.55","0.000","23.9","52.0","",""
"2021-08-21 13:43:21","44429.5717708333","0.87","0.000","23.9","52.0","",""
"2021-08-21 13:58:21","44429.5821875000","0.49","0.000","23.9","52.0","",""
"2021-08-21 14:13:21","44429.5926041667","0.60","0.000","23.9","52.0","",""
"2021-08-21 14:28:21","44429.6030208333","0.62","0.000","23.9","52.0","",""
"2021-08-21 14:43:21","44429.6134375000","0.61","0.000","23.9","52.0","",""
"2021-08-21 14:58:21","44429.6238541667","0.48","0.000","23.9","52.0","",""
"2021-08-21 15:13:21","44429.6342708333","0.44","0.000","23.9","52.0","",""
"2021-08-21 15:28:21","44429.6446875000","0.30","0.000","23.9","52.0","",""
"2021-08-21 15:43:21","44429.6551041667","0.21","0.000","23.9","52.0","",""
"2021-08-21 15:58:21","44429.6655208333","0.28","0.000","23.9","52.0","",""
"2021-08-21 16:13:21","44429.6759375000","1.14","0.000","23.9","52.0","",""
"2021-08-21 16:28:21","44429.6863541667","0.80","0.000","23.9","52.0","",""
"2021-08-21 16:43:21","44429.6967708333","0.86","0.000","23.9","52.0","",""
"2021-08-21 16:58:21","44429.7071875000","0.32","0.000","23.9","52.0","",""
"2021-08-21 17:13:21","44429.7176041667","0.51","0.000","23.9","52.0","",""
"2021-08-21 17:28:21","44429.7280208333","0.59","0.000","23.9","52.0","",""
"2021-08-21 17:43:21","44429.7384375000","0.32","0.000","23.9","52.0","",""
"2021-08-21 17:58:21","44429.7488541667","0.31","0.000","23.9","52.0","",""
"2021-08-21 18:13:21","44429.7592708333","0.30","0.000","23.9","52.0","",""
"2021-08-21 18:28:21","44429.7696875000","0.20","0.000","23.9","52.0","",""
"2021-08-21 18:43:21","44429.7801041667","0.09","0.000","23.9","52.0","",""
"2021-08-21 18:58:21","44429.7905208333","0.03","0.000","23.9","52.0","",""
"2021-08-21 19:13:21","44429.8009375000","0.01","0.000","23.9","52.0","",""
"2021-08-21 19:28:21","44429.8113541667","0.00","0.000","23.9","52.0","",""
"2021-08-21 19:43:21","44429.8217708333","0.00","0.000","23.9","52.0","",""
"2021-08-21 19:58:21","44429.8321875000","0.00","0.000","23.9","52.0","",""
"2021-08-21 20:13:21","44429.8426041667","0.00","0.000","23.9","52.0","",""
"2021-08-21 20:28:21","44429.8530208333","0.00","0.000","23.9","52.0","",""
"2021-08-21 20:43:21","44429.8634375000","0.00","0.000","23.9","52.0","",""
"2021-08-21 20:58:21","44429.8738541667","0.00","0.000","23.8","52.0","",""
"2021-08-21 21:13:21","44429.8842708333","0.00","0.000","23.8","52.0","",""
"2021-08-21 21:28:21","44429.8946875000","0.00","0.000","23.8","52.0","",""
"2021-08-21 21:43:21","44429.9051041667","0.00","0.000","23.8","52.0","",""
"2021-08-21 21:58:21","44429.9155208333","0.00","0.000","23.8","52.0","",""
"2021-08-21 22:13:21","44429.9259375000","0.00","0.000","23.8","52.0","",""
"2021-08-21 22:28:21","44429.9363541667","0.00","0.000","23.8","52.0","",""
"2021-08-21 22:43:21","44429.9467708333","0.00","0.000","23.7","52.0","",""
"2021-08-21 22:58:21","44429.9571875000","0.00","0.000","23.7","52.0","",""
"2021-08-21 23:13:21","44429.9676041667","0.00","0.000","23.7","52.0","",""
"2021-08-21 23:28:21","44429.9780208333","0.00","0.000","23.7","52.0","",""
"2021-08-21 23:43:21","44429.9884375000","0.00","0.000","23.7","52.0","",""
"2021-08-21 23:58:21","44429.9988541667","0.00","0.000","23.7","52.0","",""
