,Time,1,2,3
S/N,,227659,227659,227659
Type,,Tinytag Ultra H°C/%RH,Tinytag Ultra H°C/%RH,csv file
Description,,GH South wall,GH South wall,GH South wall
Property,,Temperature,Humidity,Dew Point
1,2020-02-03 11:39:00,13.7 °C,60.1 %RH,6.1 °C
2,2020-02-03 11:54:00,13.7 °C,61.3 %RH,6.4 °C
3,2020-02-03 12:09:00,13.7 °C,61.3 %RH,6.4 °C
4,2020-02-03 12:24:00,13.7 °C,61.3 %RH,6.4 °C
5,2020-02-03 12:39:00,13.7 °C,61.7 %RH,6.5 °C
6,2020-02-03 12:54:00,13.4 °C,61.3 %RH,6.1 °C
7,2020-02-03 13:09:00,13.7 °C,61.3 %RH,6.4 °C
8,2020-02-03 13:24:00,13.7 °C,61.3 %RH,6.4 °C
9,2020-02-03 13:39:00,13.4 °C,61.3 %RH,6.1 °C
10,2020-02-03 13:54:00,13.4 °C,61.3 %RH,6.1 °C
11,2020-02-03 14:09:00,13.7 °C,61.3 %RH,6.4 °C
12,2020-02-03 14:24:00,13.7 °C,61.3 %RH,6.4 °C
13,2020-02-03 14:39:00,13.7 °C,61.3 %RH,6.4 °C
14,2020-02-03 14:54:00,13.7 °C,61.3 %RH,6.4 °C
15,2020-02-03 15:09:00,13.7 °C,61.3 %RH,6.4 °C
16,2020-02-03 15:24:00,13.4 °C,61.3 %RH,6.1 °C
17,2020-02-03 15:39:00,13.4 °C,60.9 %RH,6.0 °C
18,2020-02-03 15:54:00,13.7 °C,60.9 %RH,6.3 °C
19,2020-02-03 16:09:00,13.4 °C,60.9 %RH,6.0 °C
20,2020-02-03 16:24:00,13.4 °C,60.5 %RH,5.9 °C
21,2020-02-03 16:39:00,13.7 °C,60.5 %RH,6.2 °C
22,2020-02-03 16:54:00,13.7 °C,60.5 %RH,6.2 °C
23,2020-02-03 17:09:00,13.7 °C,60.5 %RH,6.2 °C
24,2020-02-03 17:24:00,13.7 °C,60.5 %RH,6.2 °C
25,2020-02-03 17:39:00,13.7 °C,60.5 %RH,6.2 °C
26,2020-02-03 17:54:00,13.7 °C,60.5 %RH,6.2 °C
27,2020-02-03 18:09:00,13.7 °C,60.5 %RH,6.2 °C
28,2020-02-03 18:24:00,13.7 °C,60.5 %RH,6.2 °C
29,2020-02-03 18:39:00,13.7 °C,60.5 %RH,6.2 °C
30,2020-02-03 18:54:00,13.4 °C,60.5 %RH,5.9 °C
31,2020-02-03 19:09:00,13.4 °C,60.5 %RH,5.9 °C
32,2020-02-03 19:24:00,13.4 °C,60.1 %RH,5.8 °C
33,2020-02-03 19:39:00,13.7 °C,60.1 %RH,6.1 °C
34,2020-02-03 19:54:00,13.4 °C,59.6 %RH,5.7 °C
35,2020-02-03 20:09:00,13.4 °C,60.1 %RH,5.8 °C
36,2020-02-03 20:24:00,13.4 °C,60.1 %RH,5.8 °C
37,2020-02-03 20:39:00,13.4 °C,59.6 %RH,5.7 °C
38,2020-02-03 20:54:00,13.1 °C,59.6 %RH,5.4 °C
39,2020-02-03 21:09:00,13.4 °C,59.2 %RH,5.6 °C
40,2020-02-03 21:24:00,13.4 °C,59.2 %RH,5.6 °C
41,2020-02-03 21:39:00,13.1 °C,59.2 %RH,5.3 °C
42,2020-02-03 21:54:00,13.1 °C,58.8 %RH,5.2 °C
43,2020-02-03 22:09:00,13.1 °C,58.8 %RH,5.2 °C
