,Time,1,2,3
S/N,,240424,240424,240424
Type,,Tinytag Ultra H°C/%RH,Tinytag Ultra H°C/%RH,csv file
Description,,Strongroom West Wall,Strongroom West Wall,Strongroom West Wall
Property,,Temperature,Humidity,Dew Point
1,2020-04-28 16:07:00,17.7 °C,50.2 %RH,7.2 °C
2,2020-04-28 16:22:00,18.0 °C,50.2 %RH,7.5 °C
3,2020-04-28 16:37:00,18.0 °C,50.2 %RH,7.5 °C
4,2020-04-28 16:52:00,18.0 °C,50.2 %RH,7.5 °C
5,2020-04-28 17:07:00,18.0 °C,50.2 %RH,7.5 °C
6,2020-04-28 17:22:00,18.0 °C,50.2 %RH,7.5 °C
7,2020-04-28 17:37:00,18.0 °C,50.2 %RH,7.5 °C
8,2020-04-28 17:52:00,17.7 °C,50.2 %RH,7.2 °C
9,2020-04-28 18:07:00,17.7 °C,50.2 %RH,7.2 °C
10,2020-04-28 18:22:00,18.0 °C,50.2 %RH,7.5 °C
11,2020-04-28 18:37:00,18.0 °C,50.2 %RH,7.5 °C
12,2020-04-28 18:52:00,18.0 °C,50.2 %RH,7.5 °C
13,2020-04-28 19:07:00,18.0 °C,50.2 %RH,7.5 °C
14,2020-04-28 19:22:00,18.0 °C,50.2 %RH,7.5 °C
15,2020-04-28 19:37:00,18.0 °C,50.2 %RH,7.5 °C
16,2020-04-28 19:52:00,18.0 °C,50.2 %RH,7.5 °C
17,2020-04-28 20:07:00,18.0 °C,50.2 %RH,7.5 °C
18,2020-04-28 20:22:00,18.0 °C,50.2 %RH,7.5 °C
19,2020-04-28 20:37:00,18.0 °C,50.2 %RH,7.5 °C
20,2020-04-28 20:52:00,18.0 °C,50.2 %RH,7.5 °C
21,2020-04-28 21:07:00,18.0 °C,50.2 %RH,7.5 °C
22,2020-04-28 21:22:00,17.7 °C,50.2 %RH,7.2 °C
23,2020-04-28 21:37:00,17.7 °C,50.2 %RH,7.2 °C
24,2020-04-28 21:52:00,18.0 °C,50.2 %RH,7.5 °C
25,2020-04-28 22:07:00,18.0 °C,50.2 %RH,7.5 °C
26,2020-04-28 22:22:00,18.0 °C,50.2 %RH,7.5 °C
27,2020-04-28 22:37:00,18.0 °C,50.2 %RH,7.5 °C
28,2020-04-28 22:52:00,18.0 °C,50.2 %RH,7.5 °C
29,2020-04-28 23:07:00,18.0 °C,50.2 %RH,7.5 °C
30,2020-04-28 23:22:00,18.0 °C,50.2 %RH,7.5 °C
31,2020-04-28 23:37:00,18.0 °C,50.2 %RH,7.5 °C
32,2020-04-28 23:52:00,18.0 °C,50.2 %RH,7.5 °C
33,2020-04-29 00:07:00,18.0 °C,50.2 %RH,7.5 °C
34,2020-04-29 00:22:00,18.0 °C,50.2 %RH,7.5 °C
35,2020-04-29 00:37:00,18.0 °C,50.2 %RH,7.5 °C
36,2020-04-29 00:52:00,18.0 °C,50.2 %RH,7.5 °C
37,2020-04-29 01:07:00,18.0 °C,50.2 %RH,7.5 °C
38,2020-04-29 01:22:00,18.0 °C,50.2 %RH,7.5 °C
39,2020-04-29 01:37:00,18.0 °C,50.2 %RH,7.5 °C
40,2020-04-29 01:52:00,18.0 °C,50.2 %RH,7.5 °C
41,2020-04-29 02:07:00,18.0 °C,50.2 %RH,7.5 °C
42,2020-04-29 02:22:00,18.0 °C,50.2 %RH,7.5 °C
43,2020-04-29 02:37:00,18.0 °C,50.2 %RH,7.5 °C
44,2020-04-29 02:52:00,18.0 °C,50.2 %RH,7.5 °C
45,2020-04-29 03:07:00,18.0 °C,50.2 %RH,7.5 °C
46,2020-04-29 03:22:00,18.0 °C,50.2 %RH,7.5 °C
47,2020-04-29 03:37:00,18.0 °C,50.2 %RH,7.5 °C
48,2020-04-29 03:52:00,18.0 °C,50.2 %RH,7.5 °C
49,2020-04-29 04:07:00,18.0 °C,50.2 %RH,7.5 °C
50,2020-04-29 04:22:00,18.0 °C,50.2 %RH,7.5 °C
51,2020-04-29 04:37:00,18.0 °C,50.2 %RH,7.5 °C
52,2020-04-29 04:52:00,18.0 °C,50.2 %RH,7.5 °C
53,2020-04-29 05:07:00,18.0 °C,50.2 %RH,7.5 °C
54,2020-04-29 05:22:00,18.0 °C,50.2 %RH,7.5 °C
55,2020-04-29 05:37:00,18.0 °C,50.2 %RH,7.5 °C
56,2020-04-29 05:52:00,18.0 °C,50.2 %RH,7.5 °C
57,2020-04-29 06:07:00,18.0 °C,50.2 %RH,7.5 °C
58,2020-04-29 06:22:00,18.0 °C,50.2 %RH,7.5 °C
59,2020-04-29 06:37:00,18.0 °C,50.2 %RH,7.5 °C
60,2020-04-29 06:52:00,18.0 °C,50.2 %RH,7.5 °C
61,2020-04-29 07:07:00,18.0 °C,50.2 %RH,7.5 °C
62,2020-04-29 07:22:00,18.0 °C,50.2 %RH,7.5 °C
63,2020-04-29 07:37:00,18.0 °C,50.2 %RH,7.5 °C
64,2020-04-29 07:52:00,18.0 °C,50.2 %RH,7.5 °C
65,2020-04-29 08:07:00,18.0 °C,50.2 %RH,7.5 °C
66,2020-04-29 08:22:00,18.0 °C,50.2 %RH,7.5 °C
67,2020-04-29 08:37:00,18.0 °C,50.2 %RH,7.5 °C
68,2020-04-29 08:52:00,18.0 °C,50.2 %RH,7.5 °C
69,2020-04-29 09:07:00,18.0 °C,50.2 %RH,7.5 °C
70,2020-04-29 09:22:00,18.0 °C,50.2 %RH,7.5 °C
71,2020-04-29 09:37:00,18.0 °C,50.2 %RH,7.5 °C
72,2020-04-29 09:52:00,18.0 °C,50.2 %RH,7.5 °C
73,2020-04-29 10:07:00,18.0 °C,50.2 %RH,7.5 °C
74,2020-04-29 10:22:00,18.0 °C,50.2 %RH,7.5 °C
75,2020-04-29 10:37:00,18.0 °C,50.2 %RH,7.5 °C
76,2020-04-29 10:52:00,18.0 °C,50.2 %RH,7.5 °C
77,2020-04-29 11:07:00,18.0 °C,50.2 %RH,7.5 °C
78,2020-04-29 11:22:00,18.0 °C,50.2 %RH,7.5 °C
79,2020-04-29 11:37:00,18.0 °C,50.2 %RH,7.5 °C
80,2020-04-29 11:52:00,18.0 °C,50.2 %RH,7.5 °C
81,2020-04-29 12:07:00,18.0 °C,50.2 %RH,7.5 °C
82,2020-04-29 12:22:00,18.0 °C,50.2 %RH,7.5 °C
83,2020-04-29 12:37:00,18.0 °C,50.2 %RH,7.5 °C
84,2020-04-29 12:52:00,18.0 °C,50.2 %RH,7.5 °C
85,2020-04-29 13:07:00,18.0 °C,50.2 %RH,7.5 °C
86,2020-04-29 13:22:00,18.0 °C,50.2 %RH,7.5 °C
87,2020-04-29 13:37:00,18.0 °C,50.2 %RH,7.5 °C
88,2020-04-29 13:52:00,18.0 °C,50.2 %RH,7.5 °C
89,2020-04-29 14:07:00,18.0 °C,50.2 %RH,7.5 °C
90,2020-04-29 14:22:00,18.0 °C,50.2 %RH,7.5 °C
91,2020-04-29 14:37:00,18.0 °C,50.2 %RH,7.5 °C
92,2020-04-29 14:52:00,18.0 °C,50.2 %RH,7.5 °C
93,2020-04-29 15:07:00,18.0 °C,50.2 %RH,7.5 °C
94,2020-04-29 15:22:00,18.0 °C,50.2 %RH,7.5 °C
95,2020-04-29 15:37:00,18.0 °C,50.2 %RH,7.5 °C
96,2020-04-29 15:52:00,18.0 °C,50.2 %RH,7.5 °C
97,2020-04-29 16:07:00,18.0 °C,50.2 %RH,7.5 °C
98,2020-04-29 16:22:00,18.0 °C,50.2 %RH,7.5 °C
99,2020-04-29 16:37:00,18.0 °C,50.2 %RH,7.5 °C
100,2020-04-29 16:52:00,18.0 °C,50.2 %RH,7.5 °C
101,2020-04-29 17:07:00,18.0 °C,50.2 %RH,7.5 °C
102,2020-04-29 17:22:00,18.0 °C,50.2 %RH,7.5 °C
103,2020-04-29 17:37:00,18.0 °C,50.2 %RH,7.5 °C
104,2020-04-29 17:52:00,18.0 °C,50.2 %RH,7.5 °C
105,2020-04-29 18:07:00,18.0 °C,50.2 %RH,7.5 °C
106,2020-04-29 18:22:00,18.0 °C,50.2 %RH,7.5 °C
107,2020-04-29 18:37:00,18.0 °C,50.2 %RH,7.5 °C
108,2020-04-29 18:52:00,18.0 °C,50.2 %RH,7.5 °C
109,2020-04-29 19:07:00,18.0 °C,50.2 %RH,7.5 °C
110,2020-04-29 19:22:00,18.0 °C,50.2 %RH,7.5 °C
111,2020-04-29 19:37:00,18.0 °C,50.2 %RH,7.5 °C
112,2020-04-29 19:52:00,18.0 °C,50.2 %RH,7.5 °C
113,2020-04-29 20:07:00,18.0 °C,50.2 %RH,7.5 °C
114,2020-04-29 20:22:00,18.0 °C,50.2 %RH,7.5 °C
115,2020-04-29 20:37:00,18.0 °C,50.2 %RH,7.5 °C
116,2020-04-29 20:52:00,18.0 °C,50.2 %RH,7.5 °C
117,2020-04-29 21:07:00,18.0 °C,50.2 %RH,7.5 °C
118,2020-04-29 21:22:00,18.0 °C,50.2 %RH,7.5 °C
119,2020-04-29 21:37:00,18.0 °C,50.2 %RH,7.5 °C
120,2020-04-29 21:52:00,18.0 °C,50.2 %RH,7.5 °C
